scope	mode	test_id	exec_sec_median	pytest_sec_median	repeats	node	notes
per-test	serial	test_scf	2.52	2.19	3	halk0151	srun -n 1 --export=ALL
per-test	parallel	test_scf	1.99	1.53	3	halk0151	srun --mpi=pmi2 -n 2 --export=ALL
per-test	serial	test_0_scf	2.62	2.25	3	halk0151	srun -n 1 --export=ALL
per-test	parallel	test_0_scf	2.24	1.53	3	halk0151	srun --mpi=pmi2 -n 2 --export=ALL
per-test	serial	test_1_read	0.92	0.58	3	halk0151	srun -n 1 --export=ALL
per-test	parallel	test_1_read	1.13	0.69	3	halk0151	srun --mpi=pmi2 -n 2 --export=ALL
per-test	serial	test_2_read_pw	0.93	0.59	3	halk0151	srun -n 1 --export=ALL
per-test	parallel	test_2_read_pw	1.11	0.65	3	halk0151	srun --mpi=pmi2 -n 2 --export=ALL
suite	serial	all_4_tests	5.47	5.15	3	halk0151	srun -n 1 --export=ALL
suite	parallel	all_4_tests	3.55	2.69	3	halk0151	srun --mpi=pmi2 -n 2 --export=ALL
